Рейтинг,Оценки,Отзывы,Цена,Заголовок,Описание,URL,ISBN,Год издания,Автор,Редактор,Язык,Направление литературы,Тираж,Количество страниц,Иллюстрации,Переплет,Бумага,Издательство,Тип графической книги,Художник,Серия,Формат,Переводчик,Направление науки,Направление,Вес,Темы обучения,Развиваемые навыки,Темы,Тип пособия,Предмет,Класс,Дополнительная упаковка,Направление психологии,Образовательная программа,Тематика,Религия,Премия,Изучаемый язык,Дополнительная информация,Комплект,Минимальный возраст,Подарочное издание,Вид экзамена,Материал страниц,Особенности,Высота,Высота книги,Линейка,Тип,Количество листов,Датированность,Размер,Обложка,Крепление,Жанр,Минимальный рекомендуемый возраст,Бренд,Ширина,Ширина книги,Энциклопедия,Возраст,Тема,Праздник,Литература,Знание,Литературная форма,Отечественная литература,Радуга,Зарубежная литература,Журнал,Месяц издания,Номер выпуска,Периодичность,Язык издания,Размещение,Год,Тема изучения,Материал,Комплект книг,Сборник,Носитель,АСПОЛ,Молодая гвардия,Проспект,Недатированный,Просвещение,Новое время,Тема выпуска,Наука,Длина книги,Производитель,Длина,В комплекте,Раскраска,Правда,Мысль,АСТ,Питание от батареек,Тип батареек
5.0,7,2,452,"Как зарабатывать на акциях: Анализируем рынок, выбираем компании и формируем портфель","Задача инвестора заключается в том, чтобы распознать действительно прибыльные компании и избежать вложений в убыточный бизнес. Для этого нужно уметь грамотно анализировать финансовые показатели компаний. Эта книга написана для тех инвесторов, которые при минимальном использовании финансового анализа хотели бы получать максимум прибыли от своих вложений в акции. Артём Хачатрян рассказывает о методах инвестиций, которые были опробованы на практике как им самим, так и многими его учениками и клиентами. Автор приводит простые алгоритмы расчетов, которые, не требуя глубоких математических знаний, позволяют определить обоснованные ценовые уровни для покупки акций, а также прогнозную цену для их выгодной продажи в будущем. Эти методы позволяют на протяжении нескольких лет создать свой капитал, стать финансово независимым человеком.Для когоДля инвесторов: как опытных, так и тех, кто только готовится к первым сделкам.",https://market.yandex.ru/product--kak-zarabatyvat-na-aktsiiakh-analiziruem-rynok-vybiraem-kompanii-i-formiruem-portfel/1485242928?nid=20598950&show-uid=16982504810506558773716001&context=search&uniqueId=924574&sku=101510403369&cpc=stKEdHYGFOIf9LUQi9oGRrG9PWvtNCGqG-i_Is6_eQquIZ9q68xqMfetdBKVVw0zFpJNInkVdvaPyGIQeOMzSapFtB9X0rL1y3x9fuEJl4HzrD8gJWsVPF4QaVdxyL4rxSY10qdITBp71kuCVXPritaUijP_Hr_QBD4w4rxLvIGAWJFBMVZJn2C3ZNxRLhVZPPqKo3jT97IeS4euIJuio_FZzR5fzvU4rt7XS1GstWU4oCcAD-pr0gT-iBdkpcQcrinqMbH3pU2f5rAQohc3VQ%2C%2C&do-waremd5=BYn52COINTsxfAarzCCAxA&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,9785961474534,"2022, 22",Хачатрян Артем,Виктор Ильин,русский,"бизнес и финансы, Бизнес-литература",3000 шт.,212,черно-белые,твердый,офсетная,Альпина Паблишер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,20,8,665,Манга Магическая битва. Книга 4. Начало повиновения. Пагубный талант,"Маги-заклинатели успешно отразили атаку проклятого духа и его приспешников, произошедшую во время программы обмена опытом между колледжами. Но кто стоял за тщательно спланированным нападением и почему противники решились на такой шаг именно сейчас? Ответов на эти вопросы нет. Как и времени на раздумья. Ведь на горизонте уже маячит новое задание: расследовать убийство четырех мужчин из разных японских городов. Все жертвы были заколоты проклятым духом на пороге их дома. Юдзи, Мэгуми и Нобара прибывают в школу, где когда-то учились убитые, в надежде обнаружить хоть какие-нибудь зацепки. И вскоре становится ясно, что задание намного опаснее, чем казалось на первый взгляд. В четвёртую книгу вошли тома 7 и 8 (""Начало повиновения"" и ""Пагубный талант""), что соответствует главам 53-70, а также авторские заметки между главами и примечания.",https://market.yandex.ru/product--manga-magicheskaia-bitva-kniga-4-nachalo-povinoveniia-pagubnyi-talant/1785052870?nid=20599010&show-uid=16982504810506558773716002&context=search&uniqueId=924574&sku=101872511922&cpc=stKEdHYGFOJ1rXQlKKNdGKuaY-JQE3DkXg6jOP6QFI2A94AYWHaC91TT_l1Osv1QHoEyHvNoynxIbboiBHB8E7ceDq9U5r1iwQ2mwR_QkgOD3zYn42YELveHqNoj7pZksmgXh7UAzbNkFav4WsVal3D9qqmNQPvtu6MRH1vCYetA7J8q0sG-RaDR43Wv0Syk7-UEOuyARSN0jtKVyHOheU_Czc6Pw--yg_lmvycc2wLV1hwQhUb6gr8fuGr8XWIQHlDPVAhyu0PJbl_YkGpOyQ%2C%2C&do-waremd5=3JP2YMG02hhoUr_6AulRzQ&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-389-22085-0,2022,Акутами Г.,,русский,,20000 шт.,384,,твердый,офсетная,Азбука,манга,Акутами Г.,Графические романы. Манга,19.5 x 13 x 2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,3,1,324,"Как жить: Уроки стоицизма от Эпиктета, Сенеки и Марка Аврелия / Книги по саморазвитию / Философия","Описание книги Как жить: Уроки стоицизма от Эпиктета, Сенеки и Марка Аврелия: Каждый из нас сталкивается с неудачами и несчастьями - и гораздо чаще, чем хотелось бы. С ними сталкивались и древнеримские стоики Эпиктет, Сенека и Марк Аврелий, и им было ничуть не легче, чем нам. Именно их рассуждения о том, как преодолеть жизненные невзгоды, стали чуть ли не самым востребованным философским продуктом XXI века. В чем несравненная польза, которую можно извлечь из стоических текстов? Откуда взялась стоическая мысль и как она связана с научной картиной мира Античности? Почему настоящий стоик не может жить в отрыве от общества? Как согласовать внутреннюю свободу с неотвратимостью причинно-следственных законов? На эти вопросы отвечает небольшая и изящная книга английского философа Джона Селларса. Для кого: Для людей, интересующихся развитием античной философии. Для тех, кто учится справляться с ежедневным стрессом и эмоциональной нестабильностью.",https://market.yandex.ru/product--kak-zhit-uroki-stoitsizma-ot-epikteta-seneki-i-marka-avreliia-knigi-po-samorazvitiiu-filosofiia/1769156580?nid=20598950&show-uid=16982504810506558773716003&context=search&uniqueId=924574&sku=101806164135&cpc=stKEdHYGFOIpt2f_9xjbmnGkAmCUUW1KfSwFDF0tFXlJZ10q_RfPF2nKOmq0EUhadvlO8MqMHjsM4mSKcGfybLRJbiC5ln8vdjf2fzBQhPR9WU3KJhbe1O_P9BL4FiTVNA5yEFYeQ-MzH5ByumGc4RLlleaMnrRT6m0fmB977_MpB5M0WnE5Hbr99iuTmP1aacSAoZX81uHQgCry-V9vGFtqmbtWpUPp3w0CL7lTu8zK7dV9YRXXluBBaIETS8TXW4LXEbkDSMshDvVXaZDJ-Q%2C%2C&do-waremd5=CBngPlxRsM-LSTuVlSmI_w&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-00139-726-7,"2022, 22",Селларс Джон,Станислав Наранович,русский,научно-популярная литература,3000 шт.,90,отсутствуют,твердый,,Альпина нон-фикшн,,,,,Татьяна Лисицына,философия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.7,20,7,302,"""Понедельник начинается в субботу""Стругацкий А. Н, Стругацкий Б. Н.","Название товара: ""Понедельник начинается в субботу"".Бренд: AST, Neoclassic.Описание: ""Понедельник начинается в субботу"", написанная А. Н. Стругацким и Б. Н. Стругальским, является фантастической книгой, которая рассказывает о приключениях молодых энтузиастов, работающих в Научно-исследовательском институте Чародейства и Волшебства. Их работа заключается в том, чтобы преобразовывать мир и делать его лучше. Книга полна удивительных приключений, таких как путешествие во времени и пространстве, выращивание искусственного человека, усмирение джинна и многое другое. Книга написана легким языком и читается очень быстро.Преимущества товара:- Книга доступна в различных изданиях: 2019 год, 2021 год, 2015 год и 2022 год.- Переплет: мягкий.- Формат: 18х11.6х1.8 см.- Вес: 220 г.- Тип фантастической литературы: Фэнтези.Способ применения: Для чтения книги.Свойства товара:1. Фантастическая литература: Книга содержит элементы фантастики и фэнтези.2. Художественная литература: В книге есть описания героев, места и событий, которые создают уникальную атмосферу.3. Легкость чтения: Книга читается очень легко и быстро. Это делает ее идеальной для тех, кто хочет провести время с пользой, но не любит читать длинные произведения.4. Приключения: Книга наполнена удивительными приключениями и удивительными открытиями.5. Наука и магия: Книга сочетает в себе науку и магию, что делает ее интересной для читателей, которые интересуются как наукой, так и магией.6. Высокое качество оформления: Книга имеет высокое качество оформления, что делает чтение еще более приятным.7. Широкий круг читателей: Книга подходит для всех возрастов и интересов, от детей до взрослых.Вывод: ""Понедельник начинает в субботу"" - это фантастическая и художественная книга, написанная Стругацкими, которая наполнена приключениями, наукой и магией. Книга доступна в разных изданиях и форматах, что позволяет выбрать наиболее подходящий вариант для своих потребностей. Книга идеально подходит для тех, кто ищет что-то легкое и увлекательное для чтения.",https://market.yandex.ru/product--strugatskii-a-n-strugatskii-b-n-ponedelnik-nachinaetsia-v-subbotu/1781634276?nid=20598910&show-uid=16982504810506558773716004&context=search&uniqueId=1042922&sku=552448702&cpc=stKEdHYGFOId_X9q8rVx00ILTTKtO2peYTR_8c1OajQNW3WHwYy4IfnPfzIiufcQmf2WRXpvxpP0uKVt4cUxDZWWkgDCJeDiEQacMT8ERLtNiBmWg6D1eUZaL2a3CrQMVrNV4A6Vfae6K3ZrwqBOj0RwLkj7atdUXyBCw7ipeZvMOPbLbRYPXuHY-tACCAhsjGgJxeuQcRWUQVC13DIcju4CO1MzpjTPoL4VFnfhrLelItp12mNhP_lP4u7h6bTZylYePRdJt_cUf4gTNAvf7g%2C%2C&do-waremd5=DsxpxhG8ZM9dtx7lpDYSEw&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-17-090334-4,"1965, 2015, 2019, 2021, 2022, 2023, 2 023","Стругацкий А.Н., Стругацкий Б.Н.",,русский,,,320,,мягкий,,"АСТ, Neoclassic",,,,18 х 11.6 х 1.8,,,фантастика и фэнтези,220 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,1,0,454,"Книга Могила Бэтмена (от автора ""Трансметрополитен"")","Раз в неделю в любую погоду Альфред Пенниуорт приходит на маленькое кладбище около особняка Уэйнов. Он исправно ухаживает за могилами Томаса и Марты Уэйн: пропалывает сорняки, чистит и полирует надгробия. Увы, рано или поздно ему придется навещать на кладбище еще одного Уэйна… В попытках распутать загадочное убийство, Бэтмен погружается в разум жертвы, изуродованной неизвестным, и понимает, что жестокий убийца не последнее звено в этой цепи. Взяв след главного злодея, величайший детектив в мире даже не догадывается, что теперь каждый следующий шаг приближает его к собственной смерти!",https://market.yandex.ru/product--komiks-mogila-betmena/1659801863?nid=20599010&show-uid=16982504810506558773716005&context=search&uniqueId=5415678&sku=101581433112&cpc=stKEdHYGFOIyjSOlw8M7wwPsoNiUlHCg4Ual0fMk-ct7HEwoCwmhFsleaaP8c_MXbB1MJywPnL1KoiJn3Gk4z88FyANMZqXZ5imYxU8dz4R8JPN7dOdr2G9BiVt2AOJKr8KOs0_cEKDHYsHCGcDQcfN31OC9Yf8gMRzjS1rPdmUknQa2mqqLoSoGH4s8alebpdN_E3MotUE%2C&do-waremd5=Sy4PRyIZUTlwzJo7rmSo-w&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,9785389202030,"2021, 2022, 21",Эллис У.,,русский,,4000 шт.,296,,твердый,мелованная,Азбука,"графические романы, комиксы, Книга, Комиксы DC, Печатная книга","Хитч Б., Ноулан К., Синклер А.",Графические романы. Бэтмен,26.8 x 17.5 x 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,6,3,162,"Изучаем время, стрелки в комплекте PPI-1113-1839",Обучающий плакат размером 30х42см,https://market.yandex.ru/product--izuchaem-vremia-strelki-v-komplekte-ppi-1113-1839/1418750250?nid=19471490&show-uid=16982504810506558773716006&context=search&uniqueId=968162&sku=101422452723&cpc=stKEdHYGFOK9aY2tso0uZNqdpufkc2IbhBmGrV9KTuOV1wOT46aUgWKk05pV5yCakvcNvm2QdbPgqyafdEKWvbe7b_oGPIc7O5yPyD3CWlMjwcAVNyMZc6bdU7_GKmX_HCJGHNKUtIMYcQVn0Jwg6FatYD2l5bBb4_i59f5DVT6UrRgQFUAYKG99eKf4kT31ASEdalxazhnE0olF3w3Tee65g4c1vw2DQV7R6WlNbDpw4O8pi7dfrj5rgp0jCe2HG62dFrGmsQN8QmQ_uHuIxA%2C%2C&do-waremd5=1CzfYoS2gkRd9ch69GOvfg&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,34,6,697,Манга Человек-бензопила. Кн. 5 Купание в ванне. Чувства собаки,"Вернувшиеся из ада зализывают раны и принимают ванну. В ванной ощущается прилив нежной Power. Но оказалось, что Дэндзи не нужны такие нежности – он хочет стать собакой. Демон-огнестрел проносится по Японии, убивая людей. Все эти странные вещи происходят в манге «Человек-бензопила. Книга 5. Купание в ванне. Чувства собаки».Санта-Клаус, несмотря на имя, хорошо взгрел охотников на демонов и даже утащил их в ад. Вернулись оттуда Дэндзи, Аки и Пауэр чуть иными. Аки сблизился со своими нерадивыми подопечными, и теперь он чувствует ещё большую ответственность за них. А ещё Хаякава понял, что есть нечто большее в жизни, чем месть. И это накануне битвы с демоном-огнестрелом!Пауэр не может забыть то, что испытала во время схватки с демонами в аду, и повсюду следует за Дэндзи – в буквальном смысле. Она с ним и в ванную ходит, и спит. Дэндзи мечтал о таком ещё недавно, но сейчас ощущает нечто странное. Это чувство находит выход в виде необычного признания Макиме. А Макима вот-вот покажет своё истинное лицо… когда в Японию нагрянет демон – огнестрельное оружие.В пятую книгу вошли тома 9 и 10 («Купание в ванне» и «Чувства собаки»), что соответствует главам с 71-й по 88-ю.",https://market.yandex.ru/product--manga-chelovek-benzopila-kn-5-kupanie-v-vanne-chuvstva-sobaki/1765665535?nid=20599010&show-uid=16982504810506558773716007&context=search&uniqueId=924574&sku=101802503785&cpc=stKEdHYGFOIDXh-ctv9exe-Bmqk-j2BbcdL8uaFTaPLhwfa5RsHZTwXPjKkJbrEdLNAahQeE7LebjWauKhDLuj9v5fOfXL1B7UJWiYF5wKSWUloOzBup6JTZaEjwerHGbM3i5ZN1XfLNduv5-EkY2wpBpFvE8uUyVdpPcqzQFUm1ncTfBcQ29O6YApPJ-FXAvmfNbJ2aen6rutQi5HVAAisEuc5Oc8-4opZ_bf9vrYnW_Fx0ix4CeKTz7VYDW15Jb84qcX6mngGtaCgKdyE2iw%2C%2C&do-waremd5=YMpiAUITXr7r5t4OCzsUcg&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-389-21430-9,"2022, 2023, 2 023",Фудзимото Т.,,русский,,30000 шт.,384,черно-белые,твердый,,Азбука,"комиксы, манга",,Человек-бензопила,20.5 x 14 x 2.3,Соловьева Г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,1,0,181,Книга Илиада,"Ни одно из многочисленных литературных произведений древности не оказало такого сильного влияния на дальнейшее развитие мировой культуры, как бессмертные поэмы Гомера «Илиада» и «Одиссея». Минули века, однако притягательная сила поэм легендарного эпического поэта Древней Греции неумолима. Притягательность гомеровских поэм не только в том, что их автор вводит нас в мир, отделенный от современности десятками столетий и все же необычайно реальный благодаря гению поэта, сохранившего в своих поэмах биение современной ему жизни. Бессмертие Гомера в том, что в его гениальных творениях заключены неисчерпаемые запасы общечеловеческих непреходящих ценностей — разума, добра и красоты.В настоящем издании вниманию читателей предлагается «Илиада» в переводе Н. И. Гнедича, сумевшего передать «простоту, силу и важное спокойствие» языка Гомера.",https://market.yandex.ru/product--kniga-iliada-gomer/1781110987?nid=20598910&show-uid=16982504810506558773716008&context=search&uniqueId=5415678&own-cards=5415678%3A561600022&sku=561600022&cpc=stKEdHYGFOLKMl0JiZpXaw_6iNFxrZFfggbjJrbExjP-bAyKuc0_DPfilwSjdGaHOA7RrRcqzIypkvJsENXyTO7GNCx-HcSk_T7p4kbChdPcwxP2nKGvYTAoBVSyyOW6oJKJY995nGecD5DievQLnfPNbIJcvGGy15xiMLwY8fDF-kvYWiVj06B4bQQwUc-zOwr715N2L8Yfu06S3uPEmNjRDyaIWxns9vGjXVwbwK61J9rxNqgBhjE5vCYmSzA8U7D5Sed76QHEnWZAtIH1lQ%2C%2C&do-waremd5=dnnzi9p3V5RUg_q1BaOwPg&sponsored=1&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-389-05870-5,"2013, 2018, 2020, 2021, 2022",Гомер,,русский,,5000 шт.,608,,твердый,,Азбука,,,Мировая классика,,,,классика,425 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,4,0,629,Колыбель для кошки. Сирены Титана Воннегут К.,"Название: Книга ""Колыбель для Кошки. Сирены титана"" Автор: Воннегу К.Книга ""Колыбель для Кошки"" - это роман, написанный американским писателем Курта Воннегутом. Книга была опубликована в 1963 году и стала одной из самых популярных книг автора.""Колыбель для Кошек"" - это история о мире, который находится в состоянии хаоса и разрушения. Главный герой, кот по имени Том, попадает в мир, где люди живут в рабстве и подчиняются жестоким законам.В книге автор исследует темы свободы, справедливости, любви и ненависти, а также показывает, как люди могут изменить свою жизнь и мир вокруг себя.Книга написана в стиле фантастики, но при этом содержит много реалистических моментов. Она читается легко и интересно, и оставляет после себя глубокий след в душе читателя.Если вы любите фантастику, то книга ""Колыбель для Кошки"" обязательно должна быть в вашей библиотеке. Она поможет вам отвлечься от повседневных проблем и насладиться увлекательным миром, созданным автором.",https://market.yandex.ru/product--kolybel-dlia-koshki-sireny-titana-vonnegut-k/1401707675?nid=20598910&show-uid=16982504810506558773716009&context=search&uniqueId=1042922&own-cards=1042922%3A101392918230&sku=101392918230&cpc=stKEdHYGFOKBd52ITaXrp_pJg8-DWQxSbN6T6l-CYuUI2uKRQ5EqhmfswAjyO3ko0CGxXDIYL-jRyF3G9spGlvtQbWpGllDA0GHZsLPMPpB5d_Vv0MqD6Y-_VNdmTdHSrt1090kjbrzfx1wpbxj0RvgwJTyIf14b0Pnlg8su42IzKDybqNzXaRIHLY2W0iekOGMENmjH2rXlcui-qQfVDW93AzFQTp-MGhvzr4wHoRQ78dlyCsHwjxTGU9MPmmIm4Iy42CkKkRT3My6Om2JT4Q%2C%2C&do-waremd5=DjvuOzig3tDB-sIEw4FfMA&sponsored=1&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,9785171329839,"2020, 2023, 2 023",Воннегут К.,,rus,,2000 шт.,512,,твердый,,АСТ,,,Библиотека классики,,,,классика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,24,7,665,Манга Магическая битва. Книга 2. Мелкая рыбёшка и воздаяние. Я убью тебя!,"Магическая битва. Книга 2. Мелкая рыбешка и воздаяние. Я убью тебя! Акутами Г.В одном из токийских кинотеатров сотрудники обнаруживают тела трёх старшеклассников, чьи головы деформированы неестественным образом. Информацию о загадочном убийстве передают в Токийский магический колледж, и на место происшествия приезжают Юдзи Итадори и его старший коллега. Маги берутся за расследование, не подозревая, что вскоре им предстоит сделать страшное открытие.Тем временем жизнь в магическом колледже тоже не стоит на месте: сокурсники Юдзи вовсю готовятся к приближающейся ежегодной программе обмена опытом с киотскими заклинателями, которые, по слухам, значительно превосходят токийских студентов.-Вес: 465 г.-Количество в упаковке: 1-Кол-во страниц: 392-Длина упаковки: 18.9-Высота упаковки: 2-Ширина упаковки: 12.3-Объем упаковки: 0.465-Объем продукта: 0.4649-Материал: Бумага-ISBN: 978-5-389-21389-0-Возраст: От 18 лет, Для взрослых-Количество страниц: 392-Год издания: 2022-Тип обложки: Твёрдый переплёт-Книги ТОП-100 : Да-Автор: Акутами Гэгэ",https://market.yandex.ru/product--manga-magicheskaia-bitva-kniga-2-melkaia-rybeshka-i-vozdaianie-ia-ubiu-tebia/1765665541?nid=20599010&show-uid=16982504810506558773716010&context=search&uniqueId=924574&sku=101802503792&cpc=stKEdHYGFOL_EFnK7IGZhxhfjEskOwQRHFw2i2cgtVGa0hS-oby60_jT9wdMvZzzgK7_Vv2r1GLqzjxd-CRwOdvii6yfGsSd1Hh3OjJpFbanuXpwpczvt4i9c41yjTLHB99mHzs7CgjLVaH-ZOlK7Nr2hFNrlGZ8Ye16BQTKENcm90wiyWWSPyArfukXDNVzoEY_rsqQ0mem7W7ouAHKFVqZULoTz0pEI5vx5jI3Ut_SgMoxHIPQ0VJM4FZIP-CEDtUbE_XFyvU42N_rRRBECw%2C%2C&do-waremd5=bNTjuKlHOMFNawsqEri9uQ&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,9785389213890,"2022, 2 022",Акутами Гэгэ,,русский,,30000 шт.,392,,твердый,офсетная,Азбука,"графические романы, комиксы, манга",,Магическая битва,19.5 x 13.5 x 2.5,Демина А.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
